learnable	normalized	partOfSpeech	source
ailleurs	ailleurs	adverb	Duolingo
aimables	aimables	adjective	Duolingo
aimais	aimais	verb	Duolingo
aime	aime		Duolingo
aimé	aime	verb	Duolingo
aime bien	aime bien		Duolingo
aiment	aiment	verb	Duolingo
aimer	aimer	verb	Duolingo
aimerai	aimerai	verb	Duolingo
aimerais	aimerais	verb	Duolingo
aimerait	aimerait	verb	Duolingo
aimeriez	aimeriez	verb	Duolingo
aimes	aimes	verb	Duolingo
aimes-tu	aimes-tu		Duolingo
aimez	aimez	verb	Duolingo
aimons	aimons	verb	Duolingo
ainsi	ainsi	adverb	Duolingo
ainsi	ainsi	conjunction	Duolingo
air	air	noun	Duolingo
aire de jeux	aire de jeux		Duolingo
ait	ait	verb	Duolingo
ajoute	ajoute	verb	Duolingo
ajouter	ajouter	verb	Duolingo
ajoutes	ajoutes	verb	Duolingo
ajoutez	ajoutez	verb	Duolingo
album	album	noun	Duolingo
albums	albums	noun	Duolingo
alcool	alcool	noun	Duolingo
aléatoire	aleatoire	adjective	Duolingo
algérie	algerie	proper noun	Duolingo
algérien	algerien	adjective	Duolingo
algérienne	algerienne	adjective	Duolingo
algériennes	algeriennes	adjective	Duolingo
allaient	allaient	verb	Duolingo
allais	allais	verb	Duolingo
allait	allait	verb	Duolingo
allant	allant	verb	Duolingo
allé	alle		Duolingo
allemagne	allemagne	proper noun	Duolingo
allemand	allemand	adjective	Duolingo
allemand	allemand	noun	Duolingo
allemande	allemande	adjective	Duolingo
allemands	allemands	noun	Duolingo
aller	aller	verb	Duolingo
allez	allez	verb	Duolingo
allez-vous	allez-vous		Duolingo
allez-vous-en	allez-vous-en		Duolingo
allions	allions	verb	Duolingo
allô	allo	interjection	Duolingo
allongé	allonge	verb	Duolingo
allongée	allongee	verb	Duolingo
allons	allons	verb	Duolingo
allons-y	allons-y		Duolingo
allume	allume	verb	Duolingo
allumer	allumer	verb	Duolingo
allumette	allumette	noun	Duolingo
allumettes	allumettes	noun	Duolingo
allumez	allumez	verb	Duolingo
allumons	allumons	verb	Duolingo
alors	alors	adverb	Duolingo
alors qu'	alors qu'		Duolingo
alors que	alors que		Duolingo
alpes	alpes	proper noun	Duolingo
alsace	alsace	proper noun	Duolingo
âme	ame	noun	Duolingo
améliore	ameliore	verb	Duolingo
américain	americain	adjective	Duolingo
américaine	americaine	adjective	Duolingo
américaines	americaines	adjective	Duolingo
américains	americains	adjective	Duolingo
amérique	amerique	proper noun	Duolingo
ami	ami	noun	Duolingo
amie	amie	noun	Duolingo
amies	amies	noun	Duolingo
amis	amis	noun	Duolingo
amitié	amitie	noun	Duolingo
amour	amour	noun	Duolingo
amoureuse	amoureuse	adjective	Duolingo
amoureux	amoureux		Duolingo
amoureux	amoureux	adjective	Duolingo
amusant	amusant	adjective	Duolingo
amusante	amusante	adjective	Duolingo
amusantes	amusantes	adjective	Duolingo
amusants	amusants	adjective	Duolingo
an	an	noun	Duolingo
analyse	analyse	noun	Duolingo
ananas	ananas	noun	Duolingo
ancien	ancien	adjective	Duolingo
ancienne	ancienne	adjective	Duolingo
ange	ange	noun	Duolingo
anglais	anglais	adjective	Duolingo
anglais	anglais	noun	Duolingo
anglaise	anglaise	adjective	Duolingo
anglaises	anglaises	adjective	Duolingo
angleterre	angleterre	proper noun	Duolingo
animal	animal	noun	Duolingo
animal de compagnie	animal de compagnie		Duolingo
animaux	animaux	noun	Duolingo
année	annee	noun	Duolingo
années	annees	noun	Duolingo
anniversaire	anniversaire	noun	Duolingo
annulation	annulation	noun	Duolingo
annulations	annulations	noun	Duolingo
annulé	annule	adjective	Duolingo
annulée	annulee	adjective	Duolingo
annuler	annuler	verb	Duolingo
ans	ans	noun	Duolingo
août	aout	noun	Duolingo
apercevoir	apercevoir	verb	Duolingo
apéritif	aperitif	adjective	Duolingo
apparaître	apparaitre	verb	Duolingo
appareil	appareil	noun	Duolingo
appareil photo	appareil photo		Duolingo
apparemment	apparemment	adverb	Duolingo
appartement	appartement	noun	Duolingo
appartements	appartements	noun	Duolingo
appartenir	appartenir	verb	Duolingo
appartiennent	appartiennent	verb	Duolingo
appartient	appartient	verb	Duolingo
appel	appel	noun	Duolingo
appelé	appele	verb	Duolingo
appeler	appeler	verb	Duolingo
appelez	appelez		Duolingo
appelle	appelle	verb	Duolingo
appellent	appellent	verb	Duolingo
appelles	appelles		Duolingo
apporté	apporte	verb	Duolingo
apporter	apporter	verb	Duolingo
apportes	apportes	verb	Duolingo
apportez	apportez	verb	Duolingo
apportons	apportons	verb	Duolingo
apprend	apprend		Duolingo
apprend	apprend	verb	Duolingo
apprendra	apprendra	verb	Duolingo
apprendre	apprendre		Duolingo
apprendre	apprendre	verb	Duolingo
apprends	apprends		Duolingo
apprends	apprends	verb	Duolingo
apprenez	apprenez		Duolingo
apprenez	apprenez	verb	Duolingo
apprennent	apprennent		Duolingo
apprennent	apprennent	verb	Duolingo
apprenons	apprenons		Duolingo
apprenons	apprenons	verb	Duolingo
appris	appris	verb	Duolingo
après	apres		Duolingo
après	apres	adverb	Duolingo
après	apres	preposition	Duolingo
